point_id,dm41_eV2,theta24_deg,scan_global_max_percent,panel,component,max_abs_rel_percent,Erec_at_max_GeV,signed_rel_percent_at_max
24778,1.4299305838,9.6253901881,10.507227501462104,FHC_app,beam,0.140365388909,1.125,-0.140365388909
24778,1.4299305838,9.6253901881,10.507227501462104,FHC_app,nc,2.96822304134,1.125,-2.96822304134
24778,1.4299305838,9.6253901881,10.507227501462104,FHC_app,numu,3.01816190434,1.125,-3.01816190434
24778,1.4299305838,9.6253901881,10.507227501462104,FHC_app,signal,22702.227478,2.625,22702.227478
24778,1.4299305838,9.6253901881,10.507227501462104,FHC_dis,nc,2.96822304134,1.125,-2.96822304134
24778,1.4299305838,9.6253901881,10.507227501462104,FHC_dis,signal,3.0181293972,1.125,-3.0181293972
24778,1.4299305838,9.6253901881,10.507227501462104,FHC_dis,tau,0.0,0.625,0.0
24778,1.4299305838,9.6253901881,10.507227501462104,FHC_dis,wrong_mu,3.02005336657,1.125,-3.02005336657
24778,1.4299305838,9.6253901881,10.507227501462104,RHC_app,beam,0.143728276489,1.125,-0.143728276489
24778,1.4299305838,9.6253901881,10.507227501462104,RHC_app,nc,2.96245624962,1.125,-2.96245624962
24778,1.4299305838,9.6253901881,10.507227501462104,RHC_app,numu,3.01803785062,1.125,-3.01803785062
24778,1.4299305838,9.6253901881,10.507227501462104,RHC_app,signal,22698.5015208,2.625,22698.5015208
24778,1.4299305838,9.6253901881,10.507227501462104,RHC_dis,nc,2.96245624962,1.125,-2.96245624962
24778,1.4299305838,9.6253901881,10.507227501462104,RHC_dis,signal,3.02088118787,1.125,-3.02088118787
24778,1.4299305838,9.6253901881,10.507227501462104,RHC_dis,tau,0.0,0.625,0.0
24778,1.4299305838,9.6253901881,10.507227501462104,RHC_dis,wrong_mu,3.00796415656,1.125,-3.00796415656
48453,0.8903646693,9.3625082958,6.471824082139745,FHC_app,beam,0.150396779267,0.625,-0.150396779267
48453,0.8903646693,9.3625082958,6.471824082139745,FHC_app,nc,1.61293131732,0.625,-1.61293131732
48453,0.8903646693,9.3625082958,6.471824082139745,FHC_app,numu,1.6829530293100001,0.625,-1.6829530293100001
48453,0.8903646693,9.3625082958,6.471824082139745,FHC_app,signal,746.743917793,0.625,746.743917793
48453,0.8903646693,9.3625082958,6.471824082139745,FHC_dis,nc,1.61293131732,0.625,-1.61293131732
48453,0.8903646693,9.3625082958,6.471824082139745,FHC_dis,signal,1.68631342706,0.625,-1.68631342706
48453,0.8903646693,9.3625082958,6.471824082139745,FHC_dis,tau,0.0,0.625,0.0
48453,0.8903646693,9.3625082958,6.471824082139745,FHC_dis,wrong_mu,1.5496581223500001,0.625,-1.5496581223500001
48453,0.8903646693,9.3625082958,6.471824082139745,RHC_app,beam,0.160104231813,0.625,-0.160104231813
48453,0.8903646693,9.3625082958,6.471824082139745,RHC_app,nc,1.58471371049,0.625,-1.58471371049
48453,0.8903646693,9.3625082958,6.471824082139745,RHC_app,numu,1.65049727262,0.625,-1.65049727262
48453,0.8903646693,9.3625082958,6.471824082139745,RHC_app,signal,739.243419401,0.625,739.243419401
48453,0.8903646693,9.3625082958,6.471824082139745,RHC_dis,nc,1.58471371049,0.625,-1.58471371049
48453,0.8903646693,9.3625082958,6.471824082139745,RHC_dis,signal,1.69107423063,0.625,-1.69107423063
48453,0.8903646693,9.3625082958,6.471824082139745,RHC_dis,tau,0.0,0.625,0.0
48453,0.8903646693,9.3625082958,6.471824082139745,RHC_dis,wrong_mu,1.55584814384,0.625,-1.55584814384
